Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
635 minna st,"['Washer/Dryer', 'Dishwasher', 'Hardwood Floors', 'Gated', 'Patio', 'Yard']",SoMa,https://www.apartments.com/soma-san-francisco-ca/,8v7bdm2,635 Minna St Unit 635a,https://www.apartments.com/635-minna-st-san-francisco-ca/8v7bdm2/,0,Un-verified,1
2741 geary blvd,"['High Speed Internet Access', 'Wi-Fi', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Intercom', 'Sprinkler System', 'Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Laundry Facilities', 'Yard', 'Garden']",Lone Mountain,https://www.apartments.com/lone-mountain-san-francisco-ca/,mrgwg8h,2741 Geary Blvd Unit B,https://www.apartments.com/2741-geary-blvd-san-francisco-ca/mrgwg8h/,0,Un-verified,1
14 blake st,"['High Speed Internet Access', 'Washer/Dryer', 'Smoke Free', 'Tub/Shower', 'Pantry', 'Eat-in Kitchen', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Office', 'Laundry Facilities', 'Playground', 'Basketball Court', 'Tennis Court', 'Yard']",Laurel Heights,https://www.apartments.com/laurel-heights-san-francisco-ca/,ehf7cvq,14 Blake St Unit 2,https://www.apartments.com/14-blake-st-san-francisco-ca/ehf7cvq/,0,Un-verified,1
1225 page street,"['Washer/Dryer', 'Smoke Free', 'Fireplace', 'Dishwasher', 'Hardwood Floors', 'Balcony', 'Deck']",The Haight,https://www.apartments.com/the-haight-san-francisco-ca/,r3gq9g0,1225 Page Street Unit Grand Victorian on Page St,https://www.apartments.com/1225-page-street-san-francisco-ca-unit-grand-victorian-on-page-st/r3gq9g0/,0,Un-verified,1
254 a missouri st,"['Heating', 'Smoke Free', 'Cable Ready', 'Stainless Steel Appliances', 'Range', 'Refrigerator', 'Carpet']",Potrero,https://www.apartments.com/potrero-san-francisco-ca/,0dpgn42,254 A Missouri St Unit studio,https://www.apartments.com/254-a-missouri-st-san-francisco-ca-unit-studio/0dpgn42/,0,Un-verified,1
769 pine st,"['Smoke Free', 'Dishwasher', 'Stainless Steel Appliances', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Walk-In Closets', 'Double Pane Windows', 'Laundry Facilities', 'Gated']",Lower Nob,https://www.apartments.com/lower-nob-san-francisco-ca/,n48h4np,769 Pine St Unit 769,https://www.apartments.com/769-pine-st-san-francisco-ca/n48h4np/,0,Un-verified,1
181 liberty st,"['High Speed Internet Access', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Storage Space', 'Tub/Shower', 'Disposal', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Tile Floors', 'Basement', 'Workshop', 'Bay Window', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings']",Baja Noe,https://www.apartments.com/baja-noe-san-francisco-ca/,7l67lcx,181 Liberty St Unit #2 Front Top,https://www.apartments.com/181-liberty-st-san-francisco-ca/7l67lcx/,0,Un-verified,1
456 11th Avenue,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Smoke Free', 'Satellite TV', 'Tub/Shower', 'Fireplace', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Dining Room', 'Crown Molding']",Richmond District,https://www.apartments.com/richmond-district-san-francisco-ca/,prhbd7r,456 11th Avenue,https://www.apartments.com/456-11th-avenue-san-francisco-ca/prhbd7r/,0,Un-verified,0
1658 washington st,"['Smoke Free', 'Hardwood Floors', 'Gated']",Nob Hill,https://www.apartments.com/nob-hill-san-francisco-ca/,zqhb44z,1658 Washington St Unit Apt. 2,https://www.apartments.com/1658-washington-st-san-francisco-ca-unit-apt-2/zqhb44z/,0,Un-verified,1
3151 harrison st,"['Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Quartz Countertops', 'Office', 'Gated']",Bernal Heights,https://www.apartments.com/bernal-heights-san-francisco-ca/,b7t6j18,3151 Harrison St Unit 3151 Harrison,https://www.apartments.com/3151-harrison-st-san-francisco-ca/b7t6j18/,0,Un-verified,1
