Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
13341 15th Ave NE,"['Ceiling Fan', 'Dryer', 'Washer', 'Recycling', 'Washer/Dryer', 'Ceiling Fans', 'Storage Space', 'Tub/Shower', 'Fireplace', 'Dishwasher', 'Disposal', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Breakfast Nook', 'Carpet', 'Views', 'Balcony', 'Patio', 'Deck']",Pinehurst,https://www.apartments.com/pinehurst-seattle-wa/,507jtcn,Jackson Greens,https://www.apartments.com/jackson-greens-seattle-wa/507jtcn/,4.0,verified,0
500 Belmont Ave E,"['Pet-friendly', 'Washer', 'Garage Parking', 'Rooftop', 'Deck', 'Parcel Pending Package Locker', 'Dryer', 'Pet Friendly', 'Pet Station', 'Renters Insurance Program', 'Online Services', 'Composting', 'Key Fob Entry', 'Roof Terrace', 'High Speed Internet Access', 'Washer/Dryer', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Intercom', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Microwave', 'Range', 'Refrigerator', 'Freezer', 'Walk-In Closets', 'Patio', 'Deck']",Capitol Hill,https://www.apartments.com/capitol-hill-seattle-wa/,p0tr3rt,PERCH The Perch,https://www.apartments.com/perch-the-perch-seattle-wa/p0tr3rt/,5.0,verified,0
1516 12th Ave S,"['New Luxury Vinyl Plank Flooring', 'Laundry Facilities', 'Range', 'Refrigerator', 'Vinyl Flooring', 'Balcony']",North Beacon Hill,https://www.apartments.com/north-beacon-hill-seattle-wa/,9w2mzh7,Pinnacle Apartments,https://www.apartments.com/pinnacle-apartments-seattle-wa/9w2mzh7/,0,verified,0
714 7th Ave,"['Pet Friendly', 'Ceiling Fans', 'Flexible Monthly Payments with Flex Rent', 'Bay Windows', 'Translation Service Available', 'Fantastic location next to downtown', 'Nearby to Everything You Need', 'Zero Deposit Community', 'Claw Foot Tubs', 'Dishwasher', 'Extremely Close to Bus Lines', 'Microwave', 'Laundry Facilities', 'Property Manager on Site', 'Recycling', 'Laundry Service', 'Online Services', 'Ceiling Fans', 'Cable Ready', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Vinyl Flooring', 'Family Room', 'Bay Window']",First Hill,https://www.apartments.com/first-hill-seattle-wa/,cmkvh2e,Zindorf,https://www.apartments.com/zindorf-seattle-wa/cmkvh2e/,3.9,verified,0
5 w roy st,"['Wi-Fi', 'Washer/Dryer', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Pet Care', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Roof Terrace']",Lower Queen Anne,https://www.apartments.com/lower-queen-anne-seattle-wa/,jm32894,5 W Roy St Unit FL8-ID698,https://www.apartments.com/5-w-roy-st-seattle-wa-unit-fl8-id698/jm32894/,0,Un-verified,1
5000 NE 22nd Ave,"['Smoke Free', 'Kitchen']",University District,https://www.apartments.com/university-district-seattle-wa/,81gy302,Village Vista Apartments,https://www.apartments.com/village-vista-apartments-seattle-wa/81gy302/,0,verified,0
11301 3rd Ave NE,"['Large Balconies', 'Close Proximity to Northgate Light Rail', 'Co-Living Homes with Shared Spaces', 'Translation Service Available', 'Zero Deposit Community', 'Outdoor Patio Lounge', 'Secured Building Access', 'Spacious Floor Plans', 'Flexible Monthly Payments with Flex Rent', 'Package Lockers', 'Located Near North Seattle College', 'Located Near Northgate Skatepark', 'Washer/Dryer', 'Ample Storage Space', 'Brand New Finishes', 'Stainless Steel Appliances', 'Dog Run', 'Located Near Hubbard Homestead Park', 'Public Transportation Options Nearby', 'Co-Working Space Meeting Rooms', 'Game Room', 'Garage Parking', 'Pet Friendly', 'Quartz Countertops', 'Resident Lounge', 'Studio, 1-Bedroom & 2-Bedroom Homes', 'Vinyl Flooring', 'Pet Play Area', 'Lounge', 'Storage Space', 'Fitness Center', 'Gameroom', 'Washer/Dryer', 'Stainless Steel Appliances', 'Vinyl Flooring', 'Patio']",Pinehurst,https://www.apartments.com/pinehurst-seattle-wa/,vbyyv8e,Row on Third,https://www.apartments.com/row-on-third-seattle-wa/vbyyv8e/,0,verified,0
9221 Greenwood Ave N,"['Laundry Facilities', 'Heating', 'Smoke Free', 'Dishwasher', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Carpet', 'Vinyl Flooring']",North Seattle,https://www.apartments.com/north-seattle-seattle-wa/,5wntefm,Greenwood Apartments,https://www.apartments.com/greenwood-apartments-seattle-wa/5wntefm/,0,verified,0
151 12th Ave,"['Apodment Studio', 'Laundry Facilities', 'Controlled Access', 'Bicycle Storage', 'Private Bathroom', 'High Speed Internet Access', 'Heating', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Granite Countertops', 'Stainless Steel Appliances', 'Microwave', 'Refrigerator', 'Freezer', 'Carpet', 'Tile Floors', 'Views', 'Loft Layout', 'Wet Bar']",Minor,https://www.apartments.com/minor-seattle-wa/,gffwhyz,Firenze aPodment Suites,https://www.apartments.com/firenze-apodment-suites-seattle-wa/gffwhyz/,5.0,verified,0
3016 1st Ave,"['Secured Building Entry', 'Bike Room', 'Amazon Locker']",Belltown,https://www.apartments.com/belltown-seattle-wa/,lx2hdfe,Centerview Apartments,https://www.apartments.com/centerview-apartments-seattle-wa/lx2hdfe/,0,verified,0
