Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
550 w 54th st,"['Washer/Dryer', 'Dishwasher', 'Stainless Steel Appliances', 'Microwave', 'Hardwood Floors', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Laundry Service', 'Elevator', 'Fitness Center', 'Bicycle Storage', 'Patio', 'Yard']",Hell's Kitchen,https://www.apartments.com/hells-kitchen-new-york-ny/,mw7eefj,550 W 54th St Unit 1047,https://www.apartments.com/550-w-54th-st-new-york-ny-unit-1047/mw7eefj/,0,Un-verified,1
460 W 20th St,"['OutdoorArea', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Laundry Facilities']",Chelsea,https://www.apartments.com/chelsea-new-york-ny/,1sdsv84,460 West 20th Street,https://www.apartments.com/460-west-20th-street-new-york-ny-unit-pha/1sdsv84/,0,Un-verified,1
28 W 132nd St,"['Air Conditioning', 'Hardwood Floors', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Central Harlem,https://www.apartments.com/central-harlem-new-york-ny/,fdfeqnr,28 W 132nd St,https://www.apartments.com/28-w-132nd-st-new-york-ny/fdfeqnr/,0,Un-verified,1
7 W 81st St,"['Air Conditioning', 'Hardwood Floors', 'Furnished']",Central Park West,https://www.apartments.com/central-park-west-new-york-ny/,8h7pkx3,7 West 81st Street,https://www.apartments.com/7-west-81st-street-new-york-ny-unit-2b/8h7pkx3/,0,Un-verified,1
101 west end ave,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Playground', 'Roof Terrace']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,zy8v8bz,101 West End Ave Unit FL11-ID1187,https://www.apartments.com/101-west-end-ave-new-york-ny-unit-fl11-id1187/zy8v8bz/,0,Un-verified,1
322 W 14th St,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Laundry Facilities']",West Village,https://www.apartments.com/west-village-new-york-ny/,5jk0k3p,322 West 14th Street,https://www.apartments.com/322-west-14th-street-new-york-ny-unit-3b/5jk0k3p/,0,Un-verified,1
376 w 127th st,"['Washer/Dryer', 'Patio']",Manhattanville,https://www.apartments.com/manhattanville-new-york-ny/,58xhs4p,376 W 127th St Unit 1-A,https://www.apartments.com/376-w-127th-st-new-york-ny-unit-1-a/58xhs4p/,0,Un-verified,1
520 w 43rd st,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Courtyard']",Midtown West,https://www.apartments.com/midtown-west-new-york-ny/,7s8sqdw,520 W 43rd St Unit FL24-ID898,https://www.apartments.com/520-w-43rd-st-new-york-ny-unit-fl24-id898/7s8sqdw/,0,Un-verified,1
128 W 13th St,"['Air Conditioning', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Elevator']",West Village,https://www.apartments.com/west-village-new-york-ny/,t15nms9,128 W 13th St,https://www.apartments.com/128-w-13th-st-new-york-ny/t15nms9/,0,Un-verified,1
123 washington st,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Elevator', 'Corporate Suites', 'Fitness Center']",Financial District,https://www.apartments.com/financial-district-new-york-ny/,zb8lqzx,123 Washington St Unit FL29-ID1371,https://www.apartments.com/123-washington-st-new-york-ny-unit-fl29-id1371/zb8lqzx/,0,Un-verified,1
250 W 104th St,"['Air Conditioning', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,p0fsm7r,250 W 104th St,https://www.apartments.com/250-w-104th-st-new-york-ny/p0fsm7r/,0,Un-verified,1
945 5th ave,"['Stainless Steel Appliances', 'Hardwood Floors', 'Maintenance on site', 'Elevator', 'Bicycle Storage']",New York,https://www.apartments.com/new-york-ny/,mm55d2l,945 5th Ave Unit 9A,https://www.apartments.com/945-5th-ave-new-york-ny-unit-9a/mm55d2l/,0,Un-verified,1
240 e 82nd st,"['Washer/Dryer', 'Stainless Steel Appliances', 'Package Service', 'Laundry Facilities', 'Maintenance on site', 'Doorman', 'Laundry Service', 'Elevator']",Upper East Side,https://www.apartments.com/upper-east-side-new-york-ny/,d3e2n7h,240 E 82nd St Unit 21F,https://www.apartments.com/240-e-82nd-st-new-york-ny-unit-21f/d3e2n7h/,0,Un-verified,1
267 W 47th St,"['Air Conditioning', 'Furnished', 'Laundry Facilities']",Times Square,https://www.apartments.com/times-square-new-york-ny/,v1btfse,271 W 47th St,https://www.apartments.com/271-w-47th-st-new-york-ny-unit-46g/v1btfse/,0,Un-verified,1
49 e 34th st,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Roof Terrace']",Empire State Building,https://www.apartments.com/empire-state-building-new-york-ny/,ck5kcgg,49 E 34th St Unit FL15-ID1305,https://www.apartments.com/49-e-34th-st-new-york-ny-unit-fl15-id1305/ck5kcgg/,0,Un-verified,1
44 Bennett Ave,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Laundry Facilities']",Hudson Heights,https://www.apartments.com/hudson-heights-new-york-ny/,5m798mq,44 Bennett Avenue,https://www.apartments.com/44-bennett-avenue-new-york-ny-unit-3j/5m798mq/,0,Un-verified,1
7 Eldridge St,"['High Speed Internet Access', 'Heating', 'Smoke Free', 'Microwave', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Furnished', 'Laundry Facilities']",Chinatown,https://www.apartments.com/chinatown-new-york-ny/,8dqrjk2,Private bedroom in 3 bed/1 bath Home,https://www.apartments.com/private-bedroom-in-3-bed-1-bath-home-new-york-ny-unit-a/8dqrjk2/,0,Un-verified,1
121 Sherman Ave,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors']",Inwood,https://www.apartments.com/inwood-new-york-ny/,pc680ct,121 Sherman Avenue,https://www.apartments.com/121-sherman-avenue-new-york-ny-unit-6/pc680ct/,0,Un-verified,1
360 w 34th st,"['Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Corporate Suites', 'Fitness Center']",Chelsea,https://www.apartments.com/chelsea-new-york-ny/,hc27b12,360 W 34th St Unit FL4-ID675,https://www.apartments.com/360-w-34th-st-new-york-ny-unit-fl4-id675/hc27b12/,0,Un-verified,1
38 E 21st St,"['Air Conditioning', 'Hardwood Floors', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Flatiron District,https://www.apartments.com/flatiron-district-new-york-ny/,8jbz6g1,38 E 21st St,https://www.apartments.com/38-e-21st-st-new-york-ny/8jbz6g1/,0,Un-verified,1
255 w 94th st,"['Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Roof Terrace']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,l85r9mg,255 W 94th St Unit FL10-ID869,https://www.apartments.com/255-w-94th-st-new-york-ny-unit-fl10-id869/l85r9mg/,0,Un-verified,1
488 7th ave,"['Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Corporate Suites', 'Fitness Center']",Garment District,https://www.apartments.com/garment-district-new-york-ny/,gf4nklz,488 7th Ave Unit FL4-ID233,https://www.apartments.com/488-7th-ave-new-york-ny-unit-fl4-id233/gf4nklz/,0,Un-verified,1
245 E 44th St,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Laundry Facilities']",Midtown East,https://www.apartments.com/midtown-east-new-york-ny/,hq1gje0,245 East 44th Street,https://www.apartments.com/245-east-44th-street-new-york-ny-unit-17d/hq1gje0/,0,Un-verified,1
145 Mulberry St,"['Air Conditioning', 'Furnished', 'Laundry Facilities']",Little Italy,https://www.apartments.com/little-italy-new-york-ny/,dd1kpmh,145 Mulberry Street,https://www.apartments.com/145-mulberry-street-new-york-ny-unit-5b/dd1kpmh/,0,Un-verified,1
614 W 157th St,[],Washington Heights,https://www.apartments.com/washington-heights-new-york-ny/,p1l5jct,WEST 157 STREET,https://www.apartments.com/west-157-street-new-york-ny-unit-1/p1l5jct/,0,Un-verified,1
235 w 48th st,"['SharedYard', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Laundry Facilities', 'Doorman', 'Elevator', 'Lounge', 'Corporate Suites', 'Fitness Center', 'Roof Terrace', 'Balcony', 'Garden']",Diamond District,https://www.apartments.com/diamond-district-new-york-ny/,78tqt5x,235 W 48th St Unit FL35-ID381,https://www.apartments.com/235-w-48th-st-new-york-ny-unit-fl35-id381/78tqt5x/,0,Un-verified,1
208 E 20th St,"['Air Conditioning', 'Furnished', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Gramercy Park,https://www.apartments.com/gramercy-park-new-york-ny/,ev4c4wq,208 E 20th St,https://www.apartments.com/208-e-20th-st-new-york-ny/ev4c4wq/,0,Un-verified,1
100 W 138th St,"['Air Conditioning', 'Hardwood Floors', 'Package Service', 'Laundry Facilities', 'Controlled Access']",Striver's Row,https://www.apartments.com/strivers-row-new-york-ny/,2wblf8c,100 W 138th St,https://www.apartments.com/100-w-138th-st-new-york-ny/2wblf8c/,0,Un-verified,1
